_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
663,000000000000000;Gare Routière;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100404,000000000000000;Route;;NANTES;Allée de la Maison Rouge;02 40 77 62 70;;44000;-1,552760771850;47,212740250147
288,000000000000000;Parking ouvrage Graslin;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue Scribe;02 40 73 08 15;www.nge-nantes.fr;44000;-1,562571816217;47,214310210506
281,000000000000000;Gare de Nantes Nord - Direction régionale;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;NANTES;Boulevard de Stalingrad;08 36 35 35 35;www.sncf.fr;44000;-1,542359966056;47,217443160658
280,000000000000000;Parking ouvrage Gare Nord;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Boulevard de Stalingrad;02 40 74 23 05;www.nge-nantes.fr;44000;-1,544984334115;47,216689040172
261,000000000000000;Gare SNCF de Chantenay;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;NANTES;Rue de la Gare de Chantenay;08 92 35 35 35;www.sncf.com;44100;-1,594354993169;47,197202245403
245,000000000000000;Gare SNCF de Doulon;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;NANTES;Rue des Perrines;02 40 08 15 40;www.sncf.fr;44300;-1,517244027262;47,228528504866
3655,000000000000000;Parking relais Maraîchers;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;VERTOU;Rue de la Grand' Maison;;;44120;-1,510859655582;47,185302793647
3630,000000000000000;Parking relais busway Chapeau Verni;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;VERTOU;Route de Clisson;;;44230;-1,511298891814;47,189530076279
3629,000000000000000;Parking relais busway Bourdonnières;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Boulevard de Vendée;;;44200;-1,521154294565;47,186255590967
3628,000000000000000;Parking relais busway Gréneraie;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Boulevard Emile Gabory;;;44200;-1,533333623247;47,200139039269
677,000000000000000;Parking ouvrage Commerce;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Place du Commerce;02 40 48 19 66;www.nge-nantes.fr;44000;-1,557713219690;47,213120285802
3627,000000000000000;Parking relais busway Porte de Vertou;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;VERTOU;Boulevard Auguste Priou;;;44120;-1,505160177649;47,180175295986
134,000000000000000;Parking ouvrage Médiathèque;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue Neuve des Capucins;02 40 69 07 79;www.nge-nantes.fr;44000;-1,562338175962;47,210870827100
2520,000000000000000;Gare de Vertou;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;VERTOU;Impasse de la Gare;08 92 35 35 35;www.sncf.com;44120;-1,478031948559;47,186143479464
2519,000000000000000;Gare de Mauves;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;MAUVES-SUR-LOIRE;Place de la Gare;08 92 35 35 35;www.sncf.com;44470;-1,389303478987;47,293008169788
2518,000000000000000;Gare de Thouaré s/ Loire;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;THOUARE-SUR-LOIRE;Place de la République;08 92 35 35 35;www.sncf.com;44470;-1,440963860714;47,265120118465
2517,000000000000000;Gare Rezé Pont Rousseau;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;REZE;Rue de la Gare;08 92 35 35 35;www.sncf.com;44400;-1,549392105427;47,193331595479
2497,000000000000000;Bacs de la Loire;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;COUERON;RD 91;;;44220;-1,752254729147;47,205927467615
2452,000000000000000;Gare de Couëron;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;COUERON;Rue de la Gare;08 92 35 35 35;www.sncf.com;44220;-1,723599399918;47,221944187514
2375,000000000000000;Gare de Bouaye;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;BOUAYE;Allée Louis Armand;08 36 35 35 35;www.sncf.com;44830;-1,681075269834;47,138144687395
2374,000000000000000;Bacs de Loire;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;INDRE;Quai Besnard;02 40 86 01 29;;44610;-1,673918470528;47,197769257259
2533,000000000000000;Port de Couëron;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;COUERON;Boulevard Gambetta;02 51 84 94 51;www.nge-nantes.fr/;44220;-1,729959223793;47,209125688498
2532,000000000000000;Port de Trentemoult;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;REZE;Allée Claude Choëmet;02 51 84 94 51;http;44400;-1,578906164935;47,195374526174
2109,000000000000000;Aéroport Nantes Atlantique Château Bougon;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100401,000000000000000;Aérien;Public;BOUGUENAIS;Rue Clément Ader;02 40 84 80 00;www.nantes.aeroport.fr;44340;-1,601782069837;47,157519148192
1805,000000000000000;Gare de Basse Indre St-Herblain;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;Public;ST-HERBLAIN;Rue de la Gare;08 92 35 35 35;www.sncf.fr;44800;-1,660312841280;47,204083239044
3800,000000000000000;Parking de la Fourche;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;LES-SORINIERES;Rue de Nantes;;;44840;-1,533525919193;47,151083714948
3700,000000000000000;Station Accueil Place Edouard Normand;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place Edouard Normand;;www.bicloo.nantesmetropole.fr;44000;-1,563494733376;47,219028032543
3699,000000000000000;Station Accueil Place Aristide Briand;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place Aristide Briand;;www.bicloo.nantesmetropole.fr;44000;-1,563005503482;47,217196287643
3695,000000000000000;Station Accueil Calvaire;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place des Volontaires de la Défense Passive;;www.bicloo.nantesmetropole.fr;44000;-1,560606306876;47,215599181963
3692,000000000000000;Station Abonnement Boucherie;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue de la Boucherie;;www.bicloo.nantesmetropole.fr;44000;-1,557090686786;47,216208142635
3687,000000000000000;Station Accueil Strasbourg;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place Tirant Lo Blanc;;www.bicloo.nantesmetropole.fr;44000;-1,551617564984;47,216532854728
1581,000000000000000;Capitainerie du Port Atlantique Nantes Saint Nazaire;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;NANTES;Quai Ernest Renaud;02 40 44 20 53;www.nantes.port.fr;44100;-1,573981391341;47,205400782347
1341,000000000000000;Parking relais tram Recteur Schmitt;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Rue Recteur Schmitt;;www.tan.fr;44300;-1,552903104379;47,251735253868
1658,000000000000000;Service Maritime et Navigation Ecluse Saint Félix;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;NANTES;Quai Ferdinand Favre;02 40 71 02 19;www.equipement.gouv.fr/france.ocean;44000;-1,540898999522;47,212528607285
1624,000000000000000;Port de l'Erdre;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;NANTES;Quai de Versailles;02 40 37 04 62;www.nge-nantes.fr;44000;-1,553724598010;47,225203577314
3776,000000000000000;Parking relais tram Marcel Paul;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;ST-HERBLAIN;Boulevard Marcel Paul;;;44800;-1,618008349639;47,245904569813
3712,000000000000000;Station Accueil Place Edit de Nantes;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place de l'Edit de Nantes;;www.bicloo.nantesmetropole.fr;44100;-1,567610750129;47,214459027951
3708,000000000000000;Station Accueil Versailles;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Quai de Versailles;;www.bicloo.nantesmetropole.fr;44000;-1,553728032107;47,224423383876
3705,000000000000000;Station Accueil Marché Talensac Sud;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue de Talensac;;www.bicloo.nantesmetropole.fr;44000;-1,556494771798;47,221154818394
1046,000000000000000;Parking ouvrage Talensac;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue Le Nôtre;02 40 89 26 50;www.nge-nantes.fr;44000;-1,558357299902;47,220255981046
1044,000000000000000;Parking ouvrage Cité des Congrès;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Avenue Jean Claude Bonduelle;02 40 48 78 64;www.nge-nantes.fr;44000;-1,543971277166;47,212901670902
1043,000000000000000;Parking ouvrage Aristide Briand;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Place Aristide Briand;02 40 47 06 05;;44000;-1,562936418080;47,217093604857
3742,000000000000000;Station Abonnement Gaëtan Rondeau;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;20 Rue Gaëtan Rondeau;;www.bicloo.nantesmetropole.fr;44200;-1,537600139625;47,205407211862
3740,000000000000000;Station Accueil Magellan;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;11 Rue de Belfort;;www.bicloo.nantesmetropole.fr;44000;-1,544248263392;47,210683975483
1045,000000000000000;Parking ouvrage Gare Sud;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;32 Rue de Cornulier;02 40 08 15 28;;44000;-1,541036828463;47,216149635954
3714,000000000000000;Station accueil Duguay Trouin;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;7 Allée Duguay Trouin;;www.bicloo.nantesmetropole.fr;44000;-1,555288508406;47,213461578790
3721,000000000000000;Station Accueil Alger;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;5 Rue d'Alger;;www.bicloo.nantesmetropole.fr;44100;-1,566674313665;47,210705238574
3685,000000000000000;Station Abonnement Préfecture;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;5 Quai Ceineray;;www.bicloo.nantesmetropole.fr;44000;-1,554176048615;47,220195066995
3747,000000000000000;Station Abonnement Gare Nord;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;1 Place Charles le Roux;;www.bicloo.nantesmetropole.fr;44000;-1,542240968402;47,218141404614
3709,000000000000000;Station Accueil Descartes;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;2 Rue Descartes;;www.bicloo.nantesmetropole.fr;44000;-1,565564088162;47,216279719599
3754,000000000000000;Station Accueil Livet;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;65 Rue Dufour;;www.bicloo.nanresmetropole.fr;44000;-1,545216320958;47,224095495505
3758,000000000000000;Station Accueil Félibien;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;19 Rue Félibien;;www.bicloo.nantesmetropole.fr;44000;-1,566849350985;47,220766478732
3757,000000000000000;Station Abonnement Marché Talensac Nord;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;17 Rue de Bel Air;;www.bicloo.nantesmetropole.fr;44000;-1,559069342877;47,221910341954
3745,000000000000000;Station Abonnement Gare Sud;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;12 Rue de Lourmel;;www.bicloo.nanresmetropole.fr;44000;-1,542865960917;47,215930742147
1042,000000000000000;Gare de Nantes Sud;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;NANTES;2 Rue de Lourmel;;www.sncf.fr;44000;-1,541558460265;47,216448854427
3750,000000000000000;Station Abonnement Saint Clément;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;37 Rue Maréchal Joffre;;www.bicloo.nantesmetropole.fr;44000;-1,546931671984;47,221973737285
1041,000000000000000;Gare Routière Cariane Atlantique;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100404,000000000000000;Route;;NANTES;5 Allée Duquesne;02 40 20 46 99;;44000;-1,556650996308;47,217320024972
3690,000000000000000;Station Abonnement Place du Cirque;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;7 Allée Duquesne;;www.bicloo.nantesmetropole.fr;44000;-1,556869629336;47,217652287732
3689,000000000000000;Station Accueil Brossard;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;12 Allée Duquesne;;www.bicloo.nantesmetropole.fr;44000;-1,556327090290;47,218822583124
3704,000000000000000;Station Abonnement Bellamy;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;29 Rue Paul Bellamy;;www.bicloo.nantesmetropole.fr;44000;-1,557659854435;47,223348795628
3952,000000000000000;Station Accueil Bel Air;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;102 Rue Paul Bellamy;;www.bicloo.nantesmetropole.fr;44000;-1,560041221375;47,226406033943
3731,000000000000000;Station Accueil Place République;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;3 Place de la République;;www.bicloo.nantesmetropole.fr;44200;-1,555193861635;47,205401226591
4004,000000000000000;Station Accueil Saint-Donatien;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;69 Rue Général Buat;;www.bicloo.nantesmetropole.fr;44000;-1,540402417437;47,229128762669
3707,000000000000000;Station Accueil Buat;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;101 Rue Général Buat;;www.bicloo.nantesmetropole.fr;44000;-1,542422643412;47,227156972600
3998,000000000000000;Station Accueil Saint-Jacques;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;85 Rue Saint Jacques;;www.bicloo.nantesmetropole.fr;44200;-1,536589628879;47,195859160598
3718,000000000000000;Station Accueil Racine;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;5 Rue Racine;;www.bicloo.nantesmetropole.fr;44000;-1,563187705896;47,213483260326
3834,000000000000000;Station Accueil Saint-Aignan;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;65 Boulevard Saint Aignan;;www.bicloo.nantesmetropole.fr;44100;-1,578715096614;47,207444063946
